date,promo,planned_ad_spend_pln,orders,visits,revenue_pln,orders_invalid
2024-01-01,0,852.81,88.0,841,9090.32,0
2024-01-02,1,413.23,84.0,737,9404.07,0
2024-01-03,0,961.22,77.0,987,6579.19,0
2024-01-04,0,697.53,84.0,1046,7581.46,0
2024-01-05,0,541.13,76.0,1069,7947.15,0
2024-01-06,0,229.25,100.0,1022,11890.46,0
2024-01-07,1,513.96,108.0,968,11229.29,0
2024-01-08,0,998.01,88.0,1171,10047.78,0
2024-01-09,0,393.78,62.0,794,7113.78,0
2024-01-10,0,404.74,66.0,742,6928.37,0
2024-01-11,0,493.16,67.0,665,5871.81,0
2024-01-12,0,683.32,87.0,1012,7252.32,0
2024-01-13,1,641.55,126.0,1835,11255.49,0
2024-01-14,0,541.68,80.0,1022,9538.63,0
2024-01-15,0,296.64,50.0,501,4323.86,0
2024-01-16,0,675.86,63.0,615,7452.5,0
2024-01-17,0,484.23,52.0,581,5921.22,0
2024-01-18,0,,87.0,761,8664.65,0
2024-01-19,1,455.96,91.0,844,8189.69,0
2024-01-20,0,639.17,90.0,1270,9907.08,0
2024-01-21,0,472.09,61.0,739,5428.4,0
2024-01-22,0,784.43,74.0,1050,6750.51,0
2024-01-23,0,240.42,38.0,401,3931.14,0
2024-01-24,1,659.12,72.0,739,8612.52,0
2024-01-25,0,435.73,47.0,397,4755.35,0
2024-01-26,0,931.96,99.0,1101,11057.78,0
2024-01-27,0,830.11,113.0,1250,10463.78,0
2024-01-28,0,641.55,84.0,1260,8831.88,0
2024-01-29,0,946.26,70.0,910,6112.26,0
2024-01-30,0,706.5,68.0,799,6700.14,0
2024-01-31,0,896.19,85.0,919,9355.78,0
2024-02-01,0,786.47,89.0,848,8781.68,0
2024-02-02,0,350.31,89.0,973,8112.7,0
2024-02-03,0,914.56,108.0,1355,11313.54,0
2024-02-04,0,539.28,86.0,1068,7433.16,0
2024-02-05,0,761.6,81.0,695,6646.81,0
2024-02-06,0,886.9,86.0,1119,8581.23,0
2024-02-07,1,802.31,120.0,1716,14168.19,0
2024-02-08,0,849.09,91.0,900,9023.45,0
2024-02-09,1,510.25,123.0,1245,12696.75,0
2024-02-10,1,205.78,101.0,1440,9929.48,0
2024-02-11,0,715.0,112.0,1245,10001.01,0
2024-02-12,0,161.32,63.0,916,6458.68,0
2024-02-13,0,741.37,69.0,943,7121.08,0
2024-02-14,1,919.18,108.0,1266,11968.32,0
2024-02-15,0,566.95,61.0,908,5227.8,0
2024-02-16,0,199.8,65.0,913,7254.22,0
2024-02-17,0,511.77,84.0,809,7950.21,0
2024-02-18,0,481.56,71.0,963,6084.83,0
2024-02-19,0,563.6,60.0,898,5689.83,0
2024-02-20,0,654.94,53.0,767,4429.05,0
2024-02-21,0,573.25,71.0,856,7269.32,0
2024-02-22,0,404.33,49.0,730,4586.19,0
2024-02-23,0,629.42,72.0,920,6801.13,0
2024-02-24,0,911.54,103.0,880,11249.82,0
2024-02-25,0,969.8,91.0,1163,7890.25,0
2024-02-26,0,925.2,67.0,583,7767.21,0
2024-02-27,0,308.1,53.0,731,4999.42,0
2024-02-28,0,651.97,62.0,598,6082.63,0
2024-02-29,0,282.47,64.0,627,7675.31,0
2024-03-01,1,163.96,89.0,987,9993.19,0
2024-03-02,0,264.09,75.0,1124,7892.73,0
2024-03-03,0,622.69,103.0,1266,11346.87,0
2024-03-04,1,732.12,,1069,8335.7,0
2024-03-05,0,859.51,97.0,1132,10152.49,0
2024-03-06,0,776.61,90.0,1243,7304.26,0
2024-03-07,0,815.29,85.0,682,8256.22,0
2024-03-08,1,612.72,108.0,1238,11906.96,0
2024-03-09,0,794.96,126.0,1700,13458.32,0
2024-03-10,1,480.27,122.0,1242,10978.7,0
2024-03-11,1,324.96,87.0,1050,9291.73,0
2024-03-12,1,790.25,103.0,984,11370.91,0
2024-03-13,0,180.33,54.0,772,5220.08,0
2024-03-14,1,518.7,89.0,900,8770.51,0
2024-03-15,1,812.38,118.0,1063,11002.25,0
2024-03-16,0,364.97,77.0,950,6309.8,0
2024-03-17,0,825.11,104.0,1333,8335.03,0
2024-03-18,1,789.84,100.0,1302,8744.86,0
2024-03-19,0,407.29,44.0,640,3789.2,0
2024-03-20,0,157.24,47.0,432,4516.98,0
2024-03-21,0,194.87,51.0,718,5319.1,0
2024-03-22,0,674.69,73.0,626,7411.17,0
2024-03-23,0,804.44,89.0,977,7322.16,0
2024-03-24,0,589.33,74.0,635,6686.4,0
2024-03-25,0,659.27,68.0,649,5986.55,0
2024-03-26,0,703.07,76.0,837,6940.06,0
2024-03-27,1,365.29,77.0,995,8670.19,0
2024-03-28,0,298.69,55.0,730,6367.3,0
2024-03-29,0,900.75,96.0,1355,10418.11,0
2024-03-30,0,,115.0,1501,10509.63,0
2024-03-31,0,651.2,101.0,1064,10853.0,0
2024-04-01,1,330.07,70.0,785,5785.83,0
2024-04-02,0,416.16,57.0,757,6344.64,0
2024-04-03,0,852.55,89.0,867,8096.5,0
2024-04-04,0,476.35,70.0,576,7953.77,0
2024-04-05,1,266.8,98.0,1018,8345.43,0
2024-04-06,0,655.61,118.0,1343,12089.13,0
2024-04-07,0,455.58,98.0,1289,8099.97,0
2024-04-08,0,231.32,65.0,940,6892.88,0
2024-04-09,1,923.79,123.0,1013,14196.28,0
2024-04-10,0,155.83,66.0,611,5979.94,0
2024-04-11,0,345.24,72.0,614,7536.44,0
2024-04-12,1,340.36,99.0,832,8648.36,0
2024-04-13,1,387.55,116.0,1338,12519.33,0
2024-04-14,0,787.36,95.0,769,9246.6,0
2024-04-15,0,381.63,57.0,817,5842.32,0
2024-04-16,1,878.44,101.0,840,9944.27,0
2024-04-17,0,150.65,56.0,812,5863.55,0
2024-04-18,0,797.73,91.0,1010,7613.24,0
2024-04-19,0,542.65,85.0,978,7247.09,0
2024-04-20,0,236.06,76.0,912,7078.06,0
2024-04-21,0,901.07,84.0,1073,8562.81,0
2024-04-22,0,695.09,72.0,812,6557.99,0
2024-04-23,0,809.25,62.0,777,6368.8,0
2024-04-24,0,282.84,43.0,635,5156.71,0
2024-04-25,0,888.81,78.0,1059,8474.57,0
2024-04-26,0,629.38,83.0,888,8721.2,0
2024-04-27,0,819.14,102.0,1152,10032.67,0
2024-04-28,0,193.02,58.0,673,6052.45,0
2024-04-29,1,655.11,86.0,933,10156.73,0
2024-04-30,0,440.53,,746,6561.21,1
2024-05-01,0,205.32,44.0,489,4585.07,0
2024-05-02,0,408.71,84.0,890,7947.65,0
2024-05-03,1,271.9,112.0,966,11481.11,0
