date,promo,planned_ad_spend_pln,orders,visits,revenue_pln
"2024-01-01","0","852.81","88","841","9090.32"
"2024-01-02","1","413.23","84","737","9404.07"
"2024-01-03","0","961.22","77","987","6579.19"
"2024-01-04","0","697.53","84","1046","7581.46"
"2024-01-05","0","541.13","76","1069","7947.15"
"2024-01-06","0","229.25","100","1022","11890.46"
"2024-01-07","1","513.96","108","968","11229.29"
"2024-01-08","0","998.01","88","1171","10047.78"
"2024-01-09","0","393.78","62","794","7113.78"
"2024-01-10","0","404.74","66","742","6928.37"
"2024-01-11","0","493.16","67","665","5871.81"
"2024-01-12","0","683.32","87","1012","7252.32"
"2024-01-13","1","641.55","126","1835","11255.49"
"2024-01-14","0","541.68","80","1022","9538.63"
"2024-01-15","0","296.64","50","501","4323.86"
"2024-01-16","0","675.86","63","615","7452.5"
"2024-01-17","0","484.23","52","581","5921.22"
"2024-01-18","0","","87","761","8664.65"
"2024-01-19","1","455.96","91","844","8189.69"
"2024-01-20","0","639.17","90","1270","9907.08"
"2024-01-21","0","472.09","61","739","5428.4"
"2024-01-22","0","784.43","74","1050","6750.51"
"2024-01-23","0","240.42","38","401","3931.14"
"2024-01-24","1","659.12","72","739","8612.52"
"2024-01-25","0","435.73","47","397","4755.35"
"2024-01-26","0","931.96","99","1101","11057.78"
"2024-01-27","0","830.11","113","1250","10463.78"
"2024-01-28","0","641.55","84","1260","8831.88"
"2024-01-29","0","946.26","70","910","6112.26"
"2024-01-30","0","706.5","68","799","6700.14"
"2024-01-31","0","896.19","85","919","9355.78"
"2024-02-01","0","786.47","89","848","8781.68"
"2024-02-02","0","350.31","89","973","8112.7"
"2024-02-03","0","914.56","108","1355","11313.54"
"2024-02-04","0","539.28","86","1068","7433.16"
"2024-02-05","0","761.6","81","695","6646.81"
"2024-02-06","0","886.9","86","1119","8581.23"
"2024-02-07","1","802.31","120","1716","14168.19"
"2024-02-08","0","849.09","91","900","9023.45"
"2024-02-09","1","510.25","123","1245","12696.75"
"2024-02-10"," yes ","205.78","101","1440","9929.48"
"2024-02-11","0","715","112","1245","10001.01"
"2024-02-12","0","161.32","63","916","6458.68"
"2024-02-13","0","741.37","69","943","7121.08"
"2024-02-14","1","919.18","108","1266","11968.32"
"2024-02-15","0","566.95","61","908","5227.8"
"2024-02-16","0","199.8","65","913","7254.22"
"2024-02-17","0","511.77","84","809","7950.21"
"2024-02-18","0","481.56","71","963","6084.83"
"2024-02-19","0","563.6","60","898","5689.83"
"2024-02-20","0","654.94","53","767","4429.05"
"2024-02-21","0","573.25","71","856","7269.32"
"2024-02-22","0","404.33","49","730","4586.19"
"2024-02-23","0","629.42","72","920","6801.13"
"2024-02-24","0","911.54","103","880","11249.82"
"2024-02-25","0","969.8","91","1163","7890.25"
"2024-02-26","0","925.2","67","583","7767.21"
"2024-02-27","0","308.1","53","731","4999.42"
"2024-02-28","0","651.97","62","598","6082.63"
"2024-02-29","0","282.47","64","627","7675.31"
"2024-03-01","1","163.96","89","987","9993.19"
"2024-03-02","0","264.09","75","1124","7892.73"
"2024-03-03","0","622.69","103","1266","11346.87"
"2024-03-04","1","732.12","","1069","8335.7"
"2024-03-05","0","859.51","97","1132","10152.49"
"2024-03-06","0","776.61","90","1243","7304.26"
"2024-03-07","0","815.29","85","682","8256.22"
"2024-03-08","1","612.72","108","1238","11906.96"
"2024-03-09","0","794.96","126","1700","13458.32"
"2024-03-10","1","480.27","122","1242","10978.7"
"2024-03-11","1","324.96","87","1050","9291.73"
"2024-03-12","1","790.25","103","984","11370.91"
"2024-03-13","0","180.33","54","772","5220.08"
"2024-03-14","1","518.7","89","900","8770.51"
"2024-03-15","1","812.38","118","1063","11002.25"
"2024-03-16","0","364.97","77","950","6309.8"
"2024-03-17","0","825.11","104","1333","8335.03"
"2024-03-18","1","789.84","100","1302","8744.86"
"2024-03-19","0","407.29","44","640","3789.2"
"2024-03-20","0","157.24","47","432","4516.98"
"2024-03-21","0","194.87","51","718","5319.1"
"2024-03-22","0","674.69","73","626","7411.17"
"2024-03-23","0","804.44","89","977","7322.16"
"2024-03-24","0","589.33","74","635","6686.4"
"2024-03-25","0","659.27","68","649","5986.55"
"2024-03-26","0","703.07","76","837","6940.06"
"2024-03-27","1","365.29","77","995","8670.19"
"2024-03-28","0","298.69","55","730","6367.3"
"2024-03-29","0","900.75","96","1355","10418.11"
"2024-03-30","0","","115","1501","10509.63"
"2024-03-31","0","651.2","101","1064","10853"
"2024-04-01","1","330.07","70","785","5785.83"
"2024-04-02","0","416.16","57","757","6344.64"
"2024-04-03","0","852.55","89","867","8096.5"
"2024-04-04","0","476.35","70","576","7953.77"
"2024-04-05","1","266.8","98","1018","8345.43"
"2024-04-06","0","655.61","118","1343","12089.13"
"2024-04-07","0","455.58","98","1289","8099.97"
"2024-04-08","0","231.32","65","940","6892.88"
"2024-04-09","1","923.79","123","1013","14196.28"
"2024-04-10","0","155.83","66","611","5979.94"
"2024-04-11","0","345.24","72","614","7536.44"
"2024-04-12","1","340.36","99","832","8648.36"
"2024-04-13","1","387.55","116","1338","12519.33"
"2024-04-14","0","787.36","95","769","9246.6"
"2024-04-15","0","381.63","57","817","5842.32"
"2024-04-16","1","878.44","101","840","9944.27"
"2024-04-17","0","150.65","56","812","5863.55"
"2024-04-18","0","797.73","91","1010","7613.24"
"2024-04-19","0","542.65","85","978","7247.09"
"2024-04-20","0","236.06","76","912","7078.06"
"2024-04-21","0","901.07","84","1073","8562.81"
"2024-04-22","0","695.09","72","812","6557.99"
"2024-04-23","0","809.25","62","777","6368.8"
"2024-04-24","0","282.84","43","635","5156.71"
"2024-04-25","0","888.81","78","1059","8474.57"
"2024-04-26","0","629.38","83","888","8721.2"
"2024-04-27","0","819.14","102","1152","10032.67"
"2024-04-28","0","193.02","58","673","6052.45"
"2024-04-29","1","655.11","86","933","10156.73"
"2024-04-30","0","440.53","-5","746","6561.21"
"2024-05-01","0","205.32","44","489","4585.07"
"2024-05-02","0","408.71","84","890","7947.65"
"2024-05-03"," yes ","271.9","112","966","11481.11"
"2024-05-04","1","155.71","110","1586","9741.85"
"2024-05-05","0","748.31","119","1767","11077.32"
"2024-05-06","0","179.2","52","513","4361.53"
"2024-05-07","1","951.56","118","1023","13179.18"
"2024-05-08","1","630.21","94","1044","10222.78"
"2024-05-09","0","633.51","78","812","7320.46"
"2024-05-10","0","377.05","94","972","8675.77"
"2024-05-11","0","999.71","138","1949","11906.25"
"2024-05-12","0","838.97","98","1105","8989.77"
"2024-05-13","0","217.61","62","867","6525.41"
"2024-05-14","1","554.23","104","1387","8518.11"
"2024-05-15","0","946.22","82","890","7065.65"
"2024-05-16","0","438.2","75","727","7009.06"
"2024-05-17","1","670.4","109","1266","12430.98"
"2024-05-18","1","664.24","117","1019","10232.47"
"2024-05-19","0","601.95","77","736","6524.47"
"2024-05-20","0","279.33","55","742","5684.12"
"2024-05-21","0","870.98","67","818","6234.13"
"2024-05-22","0","238.22","54","590","6284.56"
"2024-05-23","0","751.6","64","581","5729.89"
"2024-05-24","0","569.51","81","986","9162.62"
"2024-05-25","1","699.68","131","1836","13703.43"
"2024-05-26","0","766.18","83","1048","8379.79"
"2024-05-27","0","305.1","47","427","3761.76"
"2024-05-28","0","836.06","81","659","7540.37"
"2024-05-29","0","379.66","72","721","6140.27"
"2024-05-30","0","246.24","52","732","6025.31"
"2024-05-31","0","342.88","67","903","6909.17"
"2024-06-01","0","964.06","117","1738","13362.41"
"2024-06-02","0","184.55","70","903","6806.85"
"2024-06-03","0","528.07","76","683","6397.68"
"2024-06-04","0","352.5","76","686","8876.95"
"2024-06-05","0","239.34","77","693","7995.02"
"2024-06-06","0","791.1","99","1152","8123.4"
"2024-06-07","0","688.42","94","1081","7986.47"
"2024-06-08","0","217","88","959","9061.22"
"2024-06-09","0","891.33","104","1382","9717.92"
"2024-06-10","0","518.18","70","816","5774.7"
"2024-06-11","0","889.84","93","752","9824.15"
"2024-06-12","0","477.44","75","709","7475.34"
"2024-06-13","0","742.71","96","1214","10213.43"
"2024-06-14","0","356.05","88","987","9501.47"
"2024-06-15","0","585.67","96","1332","8846.28"
"2024-06-16","0","404.87","69","769","6458.56"
"2024-06-17","0","585.6","59","597","4944.63"
"2024-06-18","0","702.35","70","944","7644.83"
"2024-06-19","0","","55","480","4407.89"
